carat	cut	color	clarity	volume	price
Medium	Good	Not Colorless	VVS	Medium	Medium
High	Premium	Colorless	SI	High	High
Very High	Ideal	Not Colorless	VVS	Very High	Very High
Low	Very Good	Colorless	VS	Low	Low
Low	Ideal	Colorless	SI	Low	Low
Low	Ideal	Not Colorless	VS	Low	Low
Low	Premium	Colorless	SI	Low	Low
Low	Ideal	Colorless	IF	Low	Low
High	Ideal	Colorless	VS	High	High
Very High	Good	Not Colorless	SI	Very High	Very High
High	Very Good	Not Colorless	SI	High	High
High	Good	Not Colorless	VS	High	High
High	Premium	Not Colorless	VS	High	High
Very High	Ideal	Colorless	SI	Very High	Very High
High	Ideal	Not Colorless	VVS	High	Very High
Medium	Premium	Not Colorless	VVS	Medium	Medium
High	Ideal	Colorless	VVS	High	High
High	Very Good	Colorless	SI	High	High
Very High	Good	Not Colorless	SI	Very High	Very High
High	Very Good	Colorless	VS	High	Very High
Low	Ideal	Not Colorless	VS	Low	Low
Very High	Ideal	Not Colorless	SI	Very High	Very High
Medium	Ideal	Colorless	VS	Medium	Medium
Low	Very Good	Colorless	VVS	Low	Low
Medium	Ideal	Not Colorless	VVS	Medium	Medium
Very High	Premium	Not Colorless	VS	Very High	Very High
Low	Premium	Not Colorless	VVS	Medium	Medium
Medium	Ideal	Colorless	VS	High	High
Low	Ideal	Colorless	VS	Low	Low
Very High	Premium	Not Colorless	VS	Very High	Very High
Medium	Premium	Colorless	SI	Medium	Medium
High	Premium	Colorless	SI	High	High
Low	Ideal	Not Colorless	VVS	Low	Low
Low	Premium	Not Colorless	VS	Low	Low
Medium	Good	Not Colorless	VVS	Medium	High
Very High	Ideal	Not Colorless	SI	Very High	Very High
Very High	Ideal	Not Colorless	VVS	Very High	Very High
High	Ideal	Colorless	SI	Very High	Very High
Low	Good	Colorless	VS	Medium	Low
Medium	Ideal	Not Colorless	VS	Medium	Medium
Low	Ideal	Colorless	IF	Low	Low
Very High	Very Good	Not Colorless	SI	Very High	High
Low	Ideal	Not Colorless	SI	Low	Low
Medium	Ideal	Not Colorless	VS	Medium	Medium
High	Very Good	Colorless	SI	High	High
Very High	Ideal	Not Colorless	VS	Very High	Very High
Low	Ideal	Not Colorless	IF	Low	Low
Low	Ideal	Not Colorless	SI	Low	Low
Low	Ideal	Colorless	SI	Low	Low
Very High	Ideal	Not Colorless	VS	Very High	Very High
High	Premium	Colorless	SI	High	High
High	Fair	Colorless	IF	High	High
Very High	Premium	Not Colorless	SI	Very High	High
Very High	Ideal	Colorless	SI	Very High	High
High	Premium	Not Colorless	VVS	High	Very High
Low	Ideal	Colorless	VVS	Low	Low
Low	Ideal	Not Colorless	VVS	Low	Low
Very High	Ideal	Not Colorless	SI	Very High	Very High
High	Ideal	Colorless	SI	High	High
Very High	Very Good	Not Colorless	VVS	Very High	Very High
Medium	Very Good	Not Colorless	VS	Medium	High
Medium	Premium	Not Colorless	SI	Medium	Medium
Low	Ideal	Colorless	VVS	Low	Low
High	Premium	Not Colorless	SI	High	High
Low	Premium	Not Colorless	VS	Low	Low
High	Very Good	Colorless	SI	High	High
Very High	Very Good	Colorless	VVS	Very High	Very High
Medium	Premium	Not Colorless	VS	Medium	Medium
High	Ideal	Colorless	VS	High	High
Medium	Ideal	Colorless	VS	Medium	Medium
Medium	Ideal	Colorless	VS	Medium	Medium
Low	Premium	Colorless	SI	Low	Low
Medium	Premium	Not Colorless	SI	Medium	Medium
Very High	Ideal	Not Colorless	SI	Very High	Very High
Low	Ideal	Not Colorless	VS	Low	Low
Medium	Very Good	Not Colorless	VVS	Medium	Medium
High	Premium	Colorless	SI	High	High
Medium	Ideal	Colorless	VS	Medium	Medium
Low	Premium	Not Colorless	VS	Low	Low
High	Ideal	Colorless	SI	High	Very High
Very High	Good	Not Colorless	VS	Very High	Very High
Very High	Premium	Colorless	SI	Very High	High
Low	Very Good	Colorless	VS	Low	Low
Low	Ideal	Colorless	VVS	Low	Low
Medium	Very Good	Colorless	SI	Medium	Low
Very High	Very Good	Not Colorless	SI	Very High	Very High
Very High	Good	Colorless	VS	Very High	Very High
Medium	Premium	Not Colorless	VS	Medium	Medium
Medium	Ideal	Colorless	SI	Medium	Medium
Low	Ideal	Colorless	VS	Low	Low
High	Ideal	Not Colorless	SI	High	High
Very High	Ideal	Not Colorless	VS	Very High	Very High
Very High	Very Good	Not Colorless	SI	Very High	Very High
High	Very Good	Not Colorless	SI	Medium	High
Medium	Ideal	Not Colorless	VVS	Medium	Medium
High	Fair	Not Colorless	SI	High	High
Low	Very Good	Not Colorless	SI	Low	Low
Medium	Very Good	Colorless	VVS	Medium	High
High	Ideal	Not Colorless	VS	High	High
Low	Ideal	Not Colorless	VS	Low	Low
High	Very Good	Colorless	IF	High	Very High
Medium	Very Good	Colorless	SI	Medium	Medium
Medium	Ideal	Colorless	VS	Medium	Medium
Very High	Very Good	Colorless	SI	Very High	Very High
Medium	Ideal	Colorless	SI	Medium	Medium
Very High	Premium	Not Colorless	SI	Very High	Very High
Very High	Ideal	Not Colorless	VVS	Very High	Very High
Low	Ideal	Colorless	VS	Low	Medium
Very High	Premium	Not Colorless	VS	Very High	Very High
High	Very Good	Colorless	SI	High	High
High	Premium	Colorless	SI	High	High
Low	Premium	Not Colorless	VS	Low	Low
High	Good	Colorless	SI	High	High
Medium	Very Good	Colorless	VS	Medium	Medium
Very High	Premium	Colorless	SI	Very High	Very High
High	Very Good	Not Colorless	SI	High	High
Medium	Premium	Colorless	SI	Medium	Low
Very High	Premium	Colorless	SI	Very High	Very High
Low	Ideal	Not Colorless	IF	Low	Low
Very High	Very Good	Not Colorless	VS	Very High	Very High
High	Premium	Colorless	SI	High	High
Very High	Premium	Not Colorless	SI	Very High	Very High
Very High	Ideal	Not Colorless	SI	Very High	Very High
Low	Ideal	Not Colorless	VS	Low	Low
Very High	Premium	Not Colorless	VS	Very High	Very High
High	Very Good	Colorless	SI	High	Medium
High	Premium	Colorless	VVS	High	High
High	Ideal	Not Colorless	SI	High	High
High	Premium	Not Colorless	VS	High	High
High	Good	Colorless	VS	High	Very High
Low	Good	Not Colorless	VS	Low	Low
Very High	Fair	Not Colorless	SI	High	High
Medium	Good	Colorless	VVS	Medium	Medium
Low	Very Good	Not Colorless	VS	Low	Low
Very High	Fair	Not Colorless	SI	Very High	Very High
Medium	Ideal	Colorless	VS	Medium	Medium
Medium	Ideal	Not Colorless	VVS	Medium	Medium
Low	Good	Colorless	VVS	Low	Low
Very High	Premium	Colorless	I1	Very High	Very High
Low	Premium	Not Colorless	VS	Low	Low
Very High	Good	Colorless	SI	Very High	Very High
High	Ideal	Colorless	SI	High	Very High
Medium	Ideal	Not Colorless	SI	Medium	Low
High	Very Good	Colorless	VS	High	High
Low	Ideal	Colorless	VS	Low	Low
Low	Ideal	Not Colorless	VVS	Low	Low
Low	Ideal	Colorless	SI	Low	Low
Low	Ideal	Colorless	VS	Low	Low
Low	Premium	Not Colorless	VS	Low	Medium
Medium	Good	Colorless	VS	Medium	Medium
Low	Very Good	Not Colorless	VVS	Low	Low
Very High	Premium	Colorless	SI	Very High	High
Medium	Ideal	Not Colorless	VS	Medium	Medium
Very High	Very Good	Not Colorless	SI	Very High	Very High
High	Premium	Colorless	SI	High	High
High	Good	Not Colorless	SI	High	High
Medium	Premium	Colorless	SI	Medium	Medium
High	Good	Not Colorless	SI	High	Medium
Very High	Ideal	Colorless	VS	Very High	Very High
Very High	Premium	Not Colorless	SI	Very High	Very High
High	Good	Colorless	IF	High	Very High
High	Very Good	Not Colorless	VS	Medium	Medium
High	Very Good	Not Colorless	SI	High	High
High	Premium	Not Colorless	VS	High	Very High
Medium	Ideal	Colorless	VS	Medium	Medium
High	Premium	Colorless	SI	High	High
High	Ideal	Colorless	VS	High	Very High
Medium	Premium	Not Colorless	VS	Medium	Medium
Low	Ideal	Not Colorless	VVS	Low	Low
Very High	Good	Not Colorless	SI	Very High	High
Low	Good	Not Colorless	SI	Low	Low
Medium	Ideal	Not Colorless	VS	Medium	Medium
High	Very Good	Not Colorless	VS	High	Very High
High	Very Good	Colorless	SI	High	High
High	Fair	Colorless	I1	High	High
High	Very Good	Not Colorless	VS	High	High
Low	Ideal	Colorless	SI	Low	Low
Very High	Ideal	Not Colorless	SI	Very High	High
Low	Premium	Colorless	VS	Low	Medium
High	Very Good	Not Colorless	VS	High	High
Low	Good	Not Colorless	VS	Medium	Low
High	Very Good	Colorless	SI	High	High
High	Premium	Colorless	VS	High	High
High	Good	Colorless	SI	High	Medium
Medium	Ideal	Colorless	VVS	Medium	Medium
Medium	Very Good	Not Colorless	SI	Medium	Low
Low	Very Good	Colorless	SI	Low	Low
High	Ideal	Colorless	SI	High	Medium
Very High	Good	Colorless	SI	Very High	Very High
Low	Ideal	Not Colorless	VS	Low	Low
High	Good	Colorless	SI	High	High
High	Good	Not Colorless	SI	High	Medium
Very High	Premium	Not Colorless	SI	Very High	Very High
Low	Ideal	Not Colorless	SI	Low	Low
High	Very Good	Colorless	SI	High	High
Very High	Very Good	Colorless	SI	Very High	Very High
High	Very Good	Colorless	SI	High	Medium
Low	Ideal	Not Colorless	IF	Low	Medium
Medium	Ideal	Not Colorless	VVS	Medium	Medium
