carat,cut,color,clarity,price,x,y,z,volume
0.23,Ideal,E,SI2,326,3.95,3.98,2.43,38.2
0.21,Premium,E,SI1,326,3.89,3.84,2.31,34.51
0.23,Good,E,VS1,327,4.05,4.07,2.31,38.08
0.29,Premium,I,VS2,334,4.2,4.23,2.63,46.72
0.31,Good,J,SI2,335,4.34,4.35,2.75,51.92
0.24,Very Good,J,VVS2,336,3.94,3.96,2.48,38.69
0.24,Very Good,I,VVS1,336,3.95,3.98,2.47,38.83
0.26,Very Good,H,SI1,337,4.07,4.11,2.53,42.32
0.22,Fair,E,VS2,337,3.87,3.78,2.49,36.43
0.23,Very Good,H,VS1,338,4.0,4.05,2.39,38.72
0.3,Good,J,SI1,339,4.25,4.28,2.73,49.66
0.23,Ideal,J,VS1,340,3.93,3.9,2.46,37.7
0.22,Premium,F,SI1,342,3.88,3.84,2.33,34.72
0.31,Ideal,J,SI2,344,4.35,4.37,2.71,51.52
0.2,Premium,E,SI2,345,3.79,3.75,2.27,32.26
0.32,Premium,E,I1,345,4.38,4.42,2.68,51.88
0.3,Ideal,I,SI2,348,4.31,4.34,2.68,50.13
0.3,Good,J,SI1,351,4.23,4.29,2.7,49.0
0.3,Good,J,SI1,351,4.23,4.26,2.71,48.83
0.3,Very Good,J,SI1,351,4.21,4.27,2.66,47.82
0.3,Good,I,SI2,351,4.26,4.3,2.71,49.64
0.23,Very Good,E,VS2,352,3.85,3.92,2.48,37.43
0.23,Very Good,H,VS1,353,3.94,3.96,2.41,37.6
0.31,Very Good,J,SI1,353,4.39,4.43,2.62,50.95
0.31,Very Good,J,SI1,353,4.44,4.47,2.59,51.4
0.23,Very Good,G,VVS2,354,3.97,4.01,2.41,38.37
0.24,Premium,I,VS1,355,3.97,3.94,2.47,38.64
0.3,Very Good,J,VS2,357,4.28,4.3,2.67,49.14
0.23,Very Good,D,VS2,357,3.96,3.97,2.4,37.73
0.23,Very Good,F,VS1,357,3.96,3.99,2.42,38.24
0.23,Very Good,F,VS1,402,4.0,4.03,2.41,38.85
0.23,Very Good,F,VS1,402,4.04,4.06,2.42,39.69
0.23,Very Good,E,VS1,402,3.97,4.01,2.42,38.53
0.23,Very Good,E,VS1,402,4.01,4.06,2.4,39.07
0.23,Very Good,D,VS1,402,3.92,3.96,2.44,37.88
0.23,Good,F,VS1,402,4.06,4.08,2.37,39.26
0.23,Good,E,VS1,402,3.83,3.85,2.46,36.27
0.31,Good,H,SI1,402,4.29,4.31,2.75,50.85
0.26,Very Good,D,VS2,403,4.13,4.16,2.52,43.3
0.33,Ideal,I,SI2,403,4.49,4.51,2.78,56.29
0.33,Ideal,I,SI2,403,4.49,4.5,2.75,55.56
0.33,Ideal,J,SI1,403,4.49,4.55,2.76,56.39
0.26,Good,D,VS2,403,3.99,4.02,2.61,41.86
0.26,Good,D,VS1,403,4.19,4.24,2.46,43.7
0.32,Good,H,SI2,403,4.34,4.37,2.75,52.16
0.29,Premium,F,SI1,403,4.24,4.26,2.65,47.87
0.32,Very Good,H,SI2,403,4.35,4.42,2.71,52.11
0.32,Good,H,SI2,403,4.36,4.38,2.79,53.28
0.25,Very Good,E,VS2,404,4.0,4.03,2.54,40.94
0.29,Very Good,H,SI2,404,4.33,4.37,2.64,49.95
0.24,Very Good,F,SI1,404,4.02,4.03,2.45,39.69
0.23,Ideal,G,VS1,404,3.93,3.95,2.44,37.88
0.32,Ideal,I,SI1,404,4.45,4.48,2.72,54.23
0.22,Premium,E,VS2,404,3.93,3.89,2.41,36.84
0.22,Premium,D,VS2,404,3.91,3.88,2.31,35.04
0.3,Ideal,I,SI2,405,4.3,4.33,2.63,48.97
0.3,Premium,J,SI2,405,4.43,4.38,2.61,50.64
0.3,Very Good,I,SI1,405,4.25,4.28,2.67,48.57
0.3,Very Good,I,SI1,405,4.28,4.32,2.71,50.11
0.3,Good,I,SI1,405,4.25,4.29,2.7,49.23
0.35,Ideal,I,VS1,552,4.54,4.59,2.78,57.93
0.3,Premium,D,SI1,552,4.23,4.27,2.66,48.05
0.3,Ideal,D,SI1,552,4.29,4.32,2.69,49.85
0.3,Ideal,D,SI1,552,4.3,4.33,2.68,49.9
0.42,Premium,I,SI2,552,4.78,4.84,2.96,68.48
0.28,Ideal,G,VVS2,553,4.19,4.22,2.58,45.62
0.32,Ideal,I,VVS1,553,4.39,4.42,2.73,52.97
0.31,Very Good,G,SI1,553,4.33,4.3,2.73,50.83
0.31,Premium,G,SI1,553,4.35,4.32,2.68,50.36
0.24,Premium,E,VVS1,553,4.01,4.03,2.44,39.43
0.24,Very Good,D,VVS1,553,3.97,4.0,2.45,38.91
0.3,Very Good,H,SI1,554,4.29,4.27,2.7,49.46
0.3,Premium,H,SI1,554,4.28,4.24,2.68,48.63
0.3,Premium,H,SI1,554,4.29,4.25,2.67,48.68
0.3,Good,H,SI1,554,4.28,4.26,2.72,49.59
0.26,Very Good,F,VVS2,554,4.19,4.22,2.49,44.03
0.26,Very Good,E,VVS2,554,4.15,4.23,2.51,44.06
0.26,Very Good,D,VVS2,554,4.08,4.13,2.56,43.14
0.26,Very Good,D,VVS2,554,4.01,4.05,2.53,41.09
0.26,Very Good,E,VVS1,554,4.06,4.09,2.55,42.34
0.26,Very Good,E,VVS1,554,4.0,4.04,2.55,41.21
0.26,Very Good,D,VVS1,554,4.03,4.12,2.53,42.01
0.26,Ideal,E,VVS2,554,4.02,4.06,2.54,41.46
0.38,Ideal,I,SI2,554,4.65,4.67,2.87,62.32
0.26,Good,E,VVS1,554,4.22,4.25,2.45,43.94
0.24,Premium,G,VVS1,554,3.95,3.92,2.45,37.94
0.24,Premium,H,VVS1,554,4.01,3.96,2.44,38.75
0.24,Premium,H,VVS1,554,4.02,4.0,2.44,39.24
0.24,Premium,H,VVS2,554,4.07,4.04,2.46,40.45
0.32,Premium,I,SI1,554,4.35,4.33,2.73,51.42
0.7,Ideal,E,SI1,2757,5.7,5.72,3.57,116.4
0.86,Fair,E,SI2,2757,6.45,6.33,3.52,143.72
0.7,Ideal,G,VS2,2757,5.7,5.67,3.5,113.12
0.71,Very Good,E,VS2,2759,5.68,5.73,3.56,115.87
0.78,Very Good,G,SI2,2759,5.81,5.85,3.72,126.44
0.7,Good,E,VS2,2759,5.85,5.9,3.38,116.66
0.7,Good,F,VS1,2759,5.71,5.76,3.4,111.82
0.96,Fair,F,SI2,2759,6.27,5.95,4.07,151.84
0.73,Very Good,E,SI1,2760,5.77,5.78,3.56,118.73
0.8,Premium,H,SI1,2760,5.97,5.93,3.66,129.57
0.75,Very Good,D,SI1,2760,5.8,5.75,3.65,121.73
0.75,Premium,E,SI1,2760,6.0,5.96,3.58,128.02
0.74,Ideal,G,SI1,2760,5.8,5.85,3.59,121.81
0.75,Premium,G,VS2,2760,5.85,5.79,3.59,121.6
0.8,Ideal,I,VS1,2760,5.94,5.87,3.72,129.71
0.75,Ideal,G,SI1,2760,5.87,5.8,3.63,123.59
0.8,Premium,G,SI1,2760,5.9,5.81,3.69,126.49
0.74,Ideal,I,VVS2,2761,5.77,5.81,3.61,121.02
0.81,Ideal,F,SI2,2761,6.14,6.11,3.6,135.06
0.59,Ideal,E,VVS2,2761,5.38,5.43,3.35,97.86
0.8,Ideal,F,SI2,2761,5.96,6.0,3.67,131.24
0.74,Ideal,E,SI2,2761,5.8,5.84,3.62,122.62
0.9,Premium,I,VS2,2761,6.16,6.12,3.87,145.9
0.74,Very Good,G,SI1,2762,5.73,5.82,3.59,119.72
0.73,Ideal,F,VS2,2762,5.77,5.74,3.6,119.23
0.73,Ideal,F,VS2,2762,5.8,5.75,3.62,120.73
0.8,Premium,F,SI2,2762,5.98,5.94,3.68,130.72
0.71,Ideal,G,VS2,2762,5.72,5.76,3.58,117.95
0.7,Ideal,E,VS2,2762,5.73,5.76,3.49,115.19
0.8,Ideal,F,SI2,2762,6.01,6.07,3.62,132.06
0.71,Ideal,D,SI2,2762,5.73,5.69,3.56,116.07
0.74,Ideal,E,SI1,2762,5.8,5.83,3.62,122.41
0.7,Very Good,F,VS2,2762,5.64,5.61,3.47,109.79
0.7,Fair,F,VS2,2762,5.57,5.53,3.58,110.27
0.7,Fair,F,VS2,2762,5.63,5.58,3.66,114.98
0.7,Premium,F,VS2,2762,5.65,5.59,3.46,109.28
0.91,Premium,H,SI1,2763,6.09,5.97,3.7,134.52
0.61,Very Good,D,VVS2,2763,5.56,5.58,3.32,103.0
0.91,Fair,H,SI2,2763,6.11,6.09,3.93,146.23
0.91,Fair,H,SI2,2763,6.03,5.99,3.95,142.67
0.77,Ideal,H,VS2,2763,5.89,5.86,3.64,125.64
0.71,Very Good,D,SI1,2764,5.64,5.68,3.6,115.33
0.71,Ideal,D,SI1,2764,5.69,5.72,3.53,114.89
0.7,Very Good,E,VS2,2765,5.62,5.65,3.53,112.09
0.77,Very Good,H,VS1,2765,5.88,5.9,3.61,125.24
0.63,Premium,E,VVS1,2765,5.52,5.55,3.37,103.24
0.71,Very Good,F,VS1,2765,5.74,5.77,3.46,114.59
0.71,Premium,F,VS1,2765,5.69,5.73,3.53,115.09
0.76,Ideal,H,SI1,2765,5.88,5.91,3.61,125.45
0.64,Ideal,G,VVS1,2766,5.53,5.56,3.43,105.46
0.71,Premium,G,VS2,2766,5.78,5.75,3.51,116.65
0.71,Premium,G,VS2,2766,5.89,5.81,3.5,119.77
0.7,Very Good,D,VS2,2767,5.68,5.72,3.52,114.36
0.7,Very Good,F,VS1,2767,5.8,5.87,3.5,119.16
0.71,Ideal,D,SI2,2767,5.74,5.76,3.54,117.04
0.7,Good,H,VVS2,2767,5.62,5.65,3.5,111.14
0.71,Very Good,G,VS1,2768,5.52,5.61,3.52,109.0
0.73,Very Good,D,SI1,2768,5.83,5.87,3.52,120.46
0.7,Very Good,D,SI1,2768,5.66,5.73,3.48,112.86
